"id","order_status","order_list","total_price","order_paid","day","time"
"33","7","""{\""order\"":[{\""product_id\"":29,\""quantity\"":1,\""product_name\"":\""Almond Butter\"",\""unit\"":\""Unit\"",\""price\"":16,\""mode_delivery\"":\""2\"",\""merchant_id\"":26,\""productImg\"":\""https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/26-1598338281196.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20200825%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20200825T065527Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=de53812cec08b2b44f28ee0e7a20be0f959ab2c39cecc080c2e328c8fd5a1e2a\"",\""photo\"":\""26-1598338281196.png\""}]}""","16.00","0","Tue","14:55:58"
"40","7","""{\""order\"":[{\""product_id\"":31,\""quantity\"":1,\""product_name\"":\""Kasut second hand\"",\""unit\"":\""Unit\"",\""price\"":80,\""mode_delivery\"":\""2\"",\""merchant_id\"":27,\""productImg\"":\""https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/27-1598338459528.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20200825%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20200825T071028Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=503f6ded2bc3b18e05c5ca03a70cf397ec609a438a53a02dd08db992bf1338d8\"",\""photo\"":\""27-1598338459528.png\""},{\""product_id\"":31,\""quantity\"":1,\""product_name\"":\""Kasut second hand\"",\""unit\"":\""Unit\"",\""price\"":80,\""mode_delivery\"":\""1\"",\""merchant_id\"":27,\""productImg\"":\""https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/27-1598338459528.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20200825%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20200825T071028Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=503f6ded2bc3b18e05c5ca03a70cf397ec609a438a53a02dd08db992bf1338d8\"",\""photo\"":\""27-1598338459528.png\""}]}""","160.00","0","Tue","15:11:09"
"43","7","""{\""order\"":[{\""product_id\"":33,\""quantity\"":1,\""product_name\"":\""Meja terpakai\"",\""unit\"":\""Unit\"",\""price\"":50,\""mode_delivery\"":\""1\"",\""merchant_id\"":27,\""productImg\"":\""https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/27-1598338774144.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20200825%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20200825T071742Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=1129e1aa74503f18d8a70786516c542c2b543f27888dc014d03cdab18e551d36\"",\""photo\"":\""27-1598338774144.png\""}]}""","50.00","0","Tue","15:17:58"
"47","4","""{\""order\"":[{\""product_id\"":34,\""quantity\"":1,\""product_name\"":\""Peti ais dan coway (combo)\"",\""unit\"":\""Unit\"",\""price\"":550,\""mode_delivery\"":\""2\"",\""merchant_id\"":29,\""productImg\"":\""https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/29-1598341707734.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20200825%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20200825T075254Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=cde077d69344442bb97f0f10070d3fbe9c87a8da2a2607e7fefa3b47e259ffd9\"",\""photo\"":\""29-1598341707734.png\""}]}""","550.00","0","Tue","15:53:37"
"49","8","""{\""order\"":[{\""product_id\"":35,\""quantity\"":2,\""product_name\"":\""Jus Buah Naga\"",\""unit\"":\""Unit\"",\""price\"":6,\""mode_delivery\"":\""1\"",\""merchant_id\"":28,\""productImg\"":\""https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/28-1598341961367.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20200825%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20200825T080425Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=04d2ef1c53c61a46365a70c105e17b69fd0f6bf284b56dfa9d65b2471a6438d3\"",\""photo\"":\""28-1598341961367.png\""}]}""","6.00","0","Tue","16:04:50"
"53","7","""{\""order\"":[{\""product_id\"":30,\""quantity\"":5,\""product_name\"":\""Peanut Butter\"",\""unit\"":\""Unit\"",\""price\"":80,\""mode_delivery\"":\""1\"",\""merchant_id\"":26,\""productImg\"":\""https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/26-1598338377610.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20200825%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20200825T083052Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=4e20a926d2d11d245087e0206ce50b2770814ec22b3844ebce86eb0e447b0552\"",\""photo\"":\""26-1598338377610.png\""}]}""","80.00","0","Tue","16:31:11"
"64","4","""{\""order\"":[{\""product_id\"":34,\""quantity\"":0,\""product_name\"":\""Peti ais dan coway (combo)\"",\""unit\"":\""Unit\"",\""price\"":0,\""mode_delivery\"":\""2\"",\""merchant_id\"":29,\""productImg\"":\""https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/29-1598341707734.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20200909%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20200909T072149Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=9df91af7686614d0c0e590dc04fdeef6f37db7e8414394daed8d16f858529ef6\"",\""photo\"":\""29-1598341707734.png\""}]}""","0.00","0","Wed","15:22:07"
"80","7","""{\""order\"":[{\""product_id\"":35,\""quantity\"":2,\""product_name\"":\""Jus Buah Naga\"",\""unit\"":\""Unit\"",\""price\"":6,\""mode_delivery\"":\""2\"",\""merchant_id\"":28,\""productImg\"":\""https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/28-1598341961367.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20200923%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20200923T082939Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=ba8d7001eb8a39e19dd8e1edbce49e7318a07c67906733a1d8232b5055bba48d\"",\""photo\"":\""28-1598341961367.png\""}]}""","6.00","0","Wed","16:30:02"
"87","4","""{\""order\"":[{\""product_id\"":35,\""quantity\"":1,\""product_name\"":\""Jus Buah Naga\"",\""unit\"":\""Unit\"",\""price\"":3,\""mode_delivery\"":\""1\"",\""merchant_id\"":28,\""productImg\"":\""https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/28-1598341961367.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201014%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201014T103730Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=579109d1dcdd0d11ce66811ab3a4ae6fe046d4fe890c81190361ce9f8f6d539f\"",\""photo\"":\""28-1598341961367.png\"",\""product_category_id\"":1}]}""","3.00","0","Wed","18:37:43"
"88","11","""{\""order\"":[{\""product_id\"":80,\""quantity\"":3,\""product_name\"":\""Mini Jumbo Chilled Latte\"",\""unit\"":\""Unit\"",\""price\"":33,\""mode_delivery\"":\""1\"",\""merchant_id\"":63,\""productImg\"":\""https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/63-1602755490028.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201015%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201015T103028Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=ff37322ea5fab1a176bfd5f69d7592e27137efcf0e3e7d9759040e6a571b0ee7\"",\""photo\"":\""63-1602755490028.png\"",\""product_category_id\"":1}]}""","33.00","1","Thu","18:31:31"
