"product_id","product_category"
"25","Lain-lain"
"27","Makanan"
"28","Makanan"
"29","Makanan"
"30","Makanan"
"31","Pakaian"
"33","Lain-lain"
"34","Lain-lain"
"35","Makanan"
"36","Lain-lain"
"37","Lain-lain"
"38","Lain-lain"
"39","Pakaian"
"40","Pakaian"
"41","Makanan"
"42","Makanan"
"43","Lain-lain"
"44","Lain-lain"
"45","Lain-lain"
"46","Pakaian"
"47","Pakaian"
"48","Pakaian"
"49","Pakaian"
"50","Makanan"
"51","Pakaian"
"52","Lain-lain"
"53","Pakaian"
"54","Pakaian"
"55","Pakaian"
"56","Makanan"
"57","Bahan Mentah"
"58","Makanan"
"59","Pakaian"
"60","Pakaian"
"61","Pakaian"
"62","Makanan"
"63","Makanan"
"64","Pakaian"
"65","Pakaian"
"66","Pakaian"
"67","Pakaian"
"68","Bahan Mentah"
"69","Bahan Mentah"
"70","Makanan"
"71","Pakaian"
"72","Pakaian"
"73","Pakaian"
"74","Makanan"
"75","Makanan"
"76","Lain-lain"
"77","Lain-lain"
"78","Makanan"
"79","Makanan"
"80","Makanan"
"81","Bahan Mentah"
"82","Makanan"
"83","Makanan"
"84","Makanan"
"85","Makanan"
"86","Lain-lain"
"87","Makanan"
"88","Lain-lain"
"89","Makanan"
"90","Makanan"
"91","Lain-lain"
"92","Makanan"
"93","Lain-lain"
"94","Lain-lain"
"95","Lain-lain"
"96","Eletrik & Elektronik"
"97","Makanan"
"98","Lain-lain"
"99","Makanan"
"100","Lain-lain"
"101","Lain-lain"
"102","Makanan"
"103","Lain-lain"
"104","Lain-lain"
"105","Makanan"
"106","Lain-lain"
"107","Lain-lain"
"108","Lain-lain"
"109","Makanan"
"111","Lain-lain"
"112","Makanan"
"113","Lain-lain"
"114","Makanan"
"115","Makanan Kering"
"116","Lain-lain"
"117","Makanan"
"118","Makanan"
"119","Lain-lain"
"120","Makanan"
"121","Lain-lain"
"122","Makanan"
"123","Lain-lain"
"124","Makanan"
"125","Lain-lain"
"126","Lain-lain"
"127","Lain-lain"
"128","Lain-lain"
"129","Makanan"
"130","Lain-lain"
"131","Lain-lain"
"132","Lain-lain"
"133","Lain-lain"
"134","Makanan"
"135","Lain-lain"
"136","Makanan"
"137","Makanan Kering"
"138","Makanan"
"139","Makanan"
"140","Lain-lain"
"141","Lain-lain"
"143","Lain-lain"
"147","Lain-lain"
"148","Makanan"
"149","Makanan"
"150","Lain-lain"
"151","Makanan"
"152","Makanan"
"153","Makanan"
"154","Makanan"
"155","Makanan"
"156","Makanan"
"157","Lain-lain"
"158","Lain-lain"
"159","Makanan"
"160","Makanan"
"161","Makanan"
"162","Makanan"
"163","Makanan Kering"
"164","Makanan"
"165","Makanan"
"166","Lain-lain"
"167","Makanan"
"168","Bahan Mentah"
"169","Lain-lain"
"170","Makanan"
"171","Makanan"
"172","Makanan"
"173","Makanan"
"174","Bahan Mentah"
"175","Makanan"
"176","Makanan"
"177","Makanan"
"178","Makanan"
"179","Makanan"
"180","Lain-lain"
"181","Makanan"
"182","Lain-lain"
"183","Makanan"
"184","Lain-lain"
"185","Lain-lain"
"186","Bahan Mentah"
"187","Lain-lain"
"188","Bahan Mentah"
"189","Lain-lain"
"190","Makanan"
"191","Makanan"
"192","Lain-lain"
"193","Lain-lain"
"194","Bahan Mentah"
"195","Lain-lain"
"196","Lain-lain"
"197","Lain-lain"
"198","Lain-lain"
"199","Lain-lain"
"200","Lain-lain"
"201","Makanan"
"202","Bahan Mentah"
"203","Makanan"
"204","Makanan"
"205","Makanan"
"206","Makanan"
"207","Lain-lain"
"208","Makanan"
"209","Lain-lain"
"210","Makanan"
"211","Makanan"
"212","Lain-lain"
"213","Lain-lain"
"214","Makanan"
"215","Lain-lain"
"216","Makanan"
"217","Makanan"
"218","Lain-lain"
"219","Makanan"
"220","Makanan"
"221","Makanan"
"222","Lain-lain"
"223","Makanan"
"224","Makanan"
"225","Makanan"
"226","Makanan"
"227","Makanan"
"228","Makanan"
"229","Makanan"
"230","Makanan"
"231","Makanan"
"232","Makanan"
"233","Lain-lain"
"234","Makanan"
"235","Makanan Kering"
"236","Makanan"
"237","Makanan"
"238","Makanan"
"239","Makanan"
"240","Makanan"
"241","Lain-lain"
"242","Makanan"
"243","Makanan"
"244","Bahan Mentah"
"245","Makanan"
"246","Lain-lain"
"247","Makanan"
"248","Makanan"
"249","Makanan"
"250","Makanan"
"251","Makanan"
"252","Makanan"
"253","Makanan"
"254","Makanan"
"255","Makanan"
"256","Makanan Kering"
"257","Makanan"
"258","Makanan"
"259","Makanan Kering"
"260","Makanan"
"261","Makanan"
"262","Makanan"
"263","Makanan"
"264","Makanan"
"265","Makanan"
"266","Lain-lain"
"267","Lain-lain"
"268","Makanan"
"269","Makanan"
"270","Makanan"
"272","Makanan"
"273","Bahan Mentah"
"274","Lain-lain"
"275","Lain-lain"
"276","Makanan Kering"
"277","Lain-lain"
"278","Lain-lain"
"279","Makanan Kering"
"280","Makanan"
"281","Makanan"
"282","Makanan"
"283","Makanan"
"285","Makanan"
"286","Makanan"
"287","Makanan"
"288","Bahan Mentah"
"289","Makanan"
"290","Makanan"
"291","Makanan"
"292","Makanan"
"293","Makanan"
"294","Makanan"
"295","Makanan"
"296","Makanan Kering"
"297","Makanan"
"298","Makanan"
"299","Lain-lain"
"300","Makanan"
"301","Makanan"
"302","Makanan"
"303","Lain-lain"
"304","Makanan"
"305","Lain-lain"
"306","Lain-lain"
"307","Lain-lain"
"308","Makanan"
"309","Lain-lain"
"310","Lain-lain"
"311","Lain-lain"
"312","Lain-lain"
"313","Lain-lain"
"314","Lain-lain"
"315","Makanan"
"316","Lain-lain"
"317","Makanan"
"318","Makanan Kering"
"319","Makanan"
"321","Makanan"
"322","Makanan"
"323","Lain-lain"
"324","Lain-lain"
"325","Makanan"
"326","Pakaian"
"327","Makanan"
"328","Makanan"
"329","Pakaian"
"331","Makanan"
"332","Makanan"
"333","Makanan"
"334","Makanan"
"335","Makanan"
"336","Makanan"
"337","Makanan"
"338","Makanan"
"339","Lain-lain"
"340","Makanan Kering"
"341","Makanan"
"342","Makanan Kering"
"343","Lain-lain"
"344","Makanan"
"346","Lain-lain"
"347","Makanan"
"348","Lain-lain"
"349","Makanan"
"350","Lain-lain"
"351","Lain-lain"
"352","Lain-lain"
"353","Makanan"
"354","Lain-lain"
"355","Lain-lain"
"356","Makanan"
"357","Makanan"
"358","Makanan"
"359","Makanan"
"361","Lain-lain"
"362","Makanan"
"363","Makanan"
"364","Lain-lain"
"365","Pakaian"
"366","Lain-lain"
"367","Makanan"
"368","Makanan"
"369","Lain-lain"
"370","Pakaian"
"371","Lain-lain"
"372","Makanan"
"373","Makanan"
"374","Aksesori perhiasan"
"375","Lain-lain"
"376","Pakaian"
"377","Lain-lain"
"378","Lain-lain"
"379","Pakaian"
"380","Lain-lain"
"381","Lain-lain"
"382","Makanan"
"383","Makanan"
"384","Makanan"
"385","Makanan"
"386","Makanan"
"387","Lain-lain"
"388","Makanan"
"389","Makanan"
"390","Lain-lain"
"391","Makanan"
"392","Lain-lain"
"393","Makanan"
"394","Lain-lain"
"395","Makanan"
"396","Lain-lain"
"397","Lain-lain"
"398","Lain-lain"
"399","Lain-lain"
"400","Makanan"
"401","Lain-lain"
"402","Makanan"
"403","Lain-lain"
"404","Lain-lain"
"405","Lain-lain"
"406","Lain-lain"
"407","Lain-lain"
"408","Lain-lain"
"409","Pakaian"
"410","Lain-lain"
"411","Lain-lain"
"412","Lain-lain"
"413","Makanan"
"414","Makanan"
"415","Makanan"
"416","Makanan"
"417","Makanan"
"418","Makanan"
"419","Makanan"
"420","Makanan"
"421","Makanan"
"422","Makanan"
"423","Lain-lain"
"424","Makanan"
"425","Makanan"
"426","Makanan"
"427","Makanan"
"428","Makanan"
"429","Makanan"
"430","Lain-lain"
"431","Makanan"
"432","Makanan"
"433","Makanan"
"434","Lain-lain"
"435","Makanan"
"436","Lain-lain"
"437","Lain-lain"
"438","Lain-lain"
"439","Makanan"
"441","Makanan"
"442","Makanan"
"443","Makanan"
"444","Makanan"
"445","Makanan"
"446","Makanan"
"447","Makanan"
"448","Lain-lain"
"449","Lain-lain"
"450","Makanan"
"451","Makanan"
"452","Makanan"
"453","Makanan"
"454","Makanan"
"455","Makanan"
"456","Makanan"
"457","Makanan"
"458","Makanan"
"459","Makanan Kering"
"460","Makanan"
"461","Lain-lain"
"462","Lain-lain"
"463","Lain-lain"
"465","Lain-lain"
"466","Lain-lain"
"467","Makanan"
"468","Lain-lain"
"469","Makanan"
"470","Lain-lain"
"471","Lain-lain"
"472","Makanan"
"473","Lain-lain"
"474","Lain-lain"
"475","Makanan"
"476","Makanan"
"477","Makanan"
"478","Makanan"
"479","Makanan"
"480","Lain-lain"
"481","Makanan"
"482","Makanan"
"483","Lain-lain"
"484","Lain-lain"
"485","Lain-lain"
"487","Makanan Kering"
"488","Lain-lain"
"489","Lain-lain"
"490","Makanan"
"491","Lain-lain"
"492","Lain-lain"
"493","Makanan"
"494","Lain-lain"
"495","Makanan"
"497","Makanan"
"498","Makanan"
"499","Makanan"
"500","Makanan"
"502","Makanan"
"503","Makanan"
"504","Makanan"
"505","Lain-lain"
"507","Makanan"
"508","Makanan"
"512","Makanan"
"513","Lain-lain"
"514","Lain-lain"
"516","Makanan"
"517","Lain-lain"
"518","Makanan"
"519","Pakaian"
"520","Lain-lain"
"521","Lain-lain"
"523","Makanan"
"524","Lain-lain"
"525","Pakaian"
"526","Lain-lain"
"528","Makanan"
"529","Lain-lain"
"530","Makanan"
"532","Makanan"
"533","Makanan"
"535","Makanan"
"537","Lain-lain"
"540","Lain-lain"
"541","Makanan"
"542","Lain-lain"
"544","Makanan"
"546","Lain-lain"
"547","Makanan"
"548","Lain-lain"
"549","Makanan"
"550","Makanan"
"551","Pakaian"
"552","Makanan"
"553","Makanan"
"554","Makanan"
"555","Makanan"
"556","Makanan"
"557","Makanan"
"558","Lain-lain"
"559","Makanan"
"560","Pakaian"
"561","Lain-lain"
"562","Makanan"
"563","Makanan"
"564","Makanan"
"565","Makanan"
"566","Makanan"
"567","Makanan"
"568","Makanan"
"569","Makanan"
"570","Makanan"
"571","Lain-lain"
"572","Bahan Mentah"
"573","Makanan"
"574","Makanan"
"575","Makanan"
"576","Makanan"
"577","Bahan Mentah"
"578","Lain-lain"
"579","Makanan"
"580","Bahan Mentah"
"581","Makanan"
"582","Makanan"
"583","Lain-lain"
"584","Makanan"
"585","Lain-lain"
"586","Makanan"
"587","Makanan"
"588","Lain-lain"
"589","Makanan"
"590","Lain-lain"
"591","Lain-lain"
"592","Lain-lain"
"593","Lain-lain"
"594","Makanan"
"595","Lain-lain"
"596","Makanan"
"597","Lain-lain"
"598","Lain-lain"
"599","Makanan"
"600","Lain-lain"
"601","Lain-lain"
"602","Lain-lain"
"603","Pakaian"
"604","Makanan"
"605","Makanan"
"606","Makanan"
"607","Makanan"
"608","Makanan"
"609","Lain-lain"
"610","Lain-lain"
"611","Makanan Kering"
"612","Makanan"
"613","Makanan"
"614","Lain-lain"
"615","Makanan Kering"
"616","Lain-lain"
"617","Makanan"
"618","Lain-lain"
"619","Lain-lain"
"620","Lain-lain"
"621","Makanan Kering"
"622","Makanan"
"623","Lain-lain"
"624","Lain-lain"
"625","Makanan"
"626","Makanan"
"627","Lain-lain"
"628","Makanan"
"629","Bahan Mentah"
"630","Lain-lain"
"631","Makanan"
"632","Makanan"
"633","Bahan Mentah"
"634","Makanan"
"635","Makanan"
"636","Makanan"
"637","Makanan"
"638","Lain-lain"
"639","Makanan"
"640","Makanan"
"641","Makanan"
"642","Lain-lain"
"643","Makanan"
"644","Lain-lain"
"645","Lain-lain"
"646","Pakaian"
"647","Makanan"
"648","Makanan"
"649","Makanan"
"650","Makanan"
"651","Makanan"
"652","Makanan"
"654","Makanan"
"655","Makanan"
"656","Makanan"
"657","Makanan"
"658","Makanan"
"659","Lain-lain"
"660","Bahan Mentah"
"661","Lain-lain"
"663","Makanan"
"664","Lain-lain"
"665","Lain-lain"
"666","Lain-lain"
"667","Makanan"
"668","Makanan"
"670","Makanan"
"671","Makanan"
"673","Pakaian"
"674","Makanan"
"675","Pakaian"
"677","Lain-lain"
"678","Lain-lain"
"679","Lain-lain"
"680","Lain-lain"
"681","Lain-lain"
"682","Lain-lain"
"683","Makanan"
"684","Makanan"
"685","Lain-lain"
"686","Lain-lain"
"687","Makanan"
"688","Makanan"
"689","Bahan Mentah"
"690","Makanan"
"691","Pakaian"
"692","Bahan Mentah"
"693","Makanan"
"694","Lain-lain"
"695","Lain-lain"
"696","Makanan"
"697","Makanan"
"698","Makanan"
"699","Makanan"
"700","Makanan"
"701","Makanan"
"702","Makanan"
"703","Makanan"
"704","Makanan"
"705","Makanan Kering"
"706","Makanan"
"707","Makanan"
"708","Makanan"
"709","Makanan"
"710","Makanan"
"711","Makanan"
"712","Makanan"
"713","Makanan"
"714","Lain-lain"
"715","Makanan"
"716","Makanan"
"717","Makanan"
"718","Makanan"
"719","Lain-lain"
"720","Bahan Mentah"
"721","Makanan"
"722","Lain-lain"
"723","Makanan"
"724","Lain-lain"
"725","Makanan"
"726","Makanan"
"727","Makanan"
"728","Makanan"
"729","Makanan Kering"
"730","Makanan"
"731","Makanan"
"732","Makanan"
